"","x"
"907","ITSN2"
"908","KCNH8"
"909","KLHL28"
"910","LARP1"
"911","LMOD2"
"912","LMOD3"
"913","LONP2"
"914","LRRIQ1"
"915","MBIP"
"916","MRPS31"
"917","NARG2"
"918","NBEAL2"
"919","NLN"
"920","NR1D2"
"921","OBSCN"
"922","OR4K1"
"923","OSCP1"
"924","PDZRN4"
"925","PIK3C2G"
"926","PKNOX1"
"927","PMFBP1"
"928","RARG"
"929","RP1"
"930","SCAPER"
"931","SCMH1"
"932","SCNN1G"
"933","SHROOM4"
"934","SI"
"935","SIGLEC1"
"936","SLCO1A2"
"937","SLIT3"
"938","SPG11"
"939","STK11IP"
"940","STK4"
"941","TANC2"
"942","TDRD3"
"943","TNRC6C"
"944","USP49"
"945","WAPAL"
"946","ZBBX"
"947","ZBTB41"
"948","ZC3H14"
"949","ZCCHC13"
"950","ZNF408"
"951","ZNF99"
"952","CACNA2D4"
"953","CNKSR2"
"954","DNHD1"
"955","FGFRL1"
"956","GPR124"
"957","NCKIPSD"
"958","NOX3"
"959","POLN"
"960","SH2D7"
"961","SLC6A8"
"962","VANGL2"
"963","VAV3"
"964","VCAN"
"965","ZNF230"
"966","ZNF257"
"967","C10orf71"
"968","CDC42BPB"
"969","CROCC"
"970","FLCN"
"971","HSD17B6"
"972","MYO16"
"973","NARS2"
"974","NCL"
"975","PCDHA6"
"976","RYR3"
"977","WNT2B"
"978","CHD9"
"979","CKAP5"
"980","CYP2J2"
"981","FBXO11"
"982","GPATCH8"
"983","GRM1"
"984","HRNR"
"985","LONRF3"
"986","MIER2"
"987","PARD3B"
"988","PCDHGA11"
"989","RBM10"
"990","ROPN1B"
"991","SPOCD1"
"992","SPTA1"
"993","TATDN1"
"994","AACS"
"995","ANKMY1"
"996","AQR"
"997","C10orf118"
"998","CDH15"
"999","CDHR3"
"1000","CHAT"
"1001","CLEC4F"
"1002","DCAF8L1"
"1003","EDEM3"
"1004","EPX"
"1005","FCHO1"
"1006","FER1L6"
"1007","FIG4"
"1008","FOSB"
"1009","FOXRED2"
"1010","GABRB1"
"1011","HELQ"
"1012","KDM7A"
"1013","KCNJ10"
"1014","KIAA1199"
"1015","KLHL20"
"1016","LRWD1"
"1017","MAP2K3"
"1018","MRC2"
"1019","MYBPC1"
"1020","NPY2R"
"1021","PKHD1L1"
"1022","PLCXD2"
"1023","RECQL4"
"1024","SFMBT1"
"1025","SMPD1"
"1026","SPG20"
"1027","SYNM"
"1028","TCERG1"
"1029","TLR7"
"1030","TMEM2"
"1031","TRIM36"
"1032","TSNARE1"
"1033","TYR"
"1034","UBA6"
"1035","ZNF207"
"1036","ZNF337"
"1037","ZNF646"
"1038","ETFB"
"1039","PPFIA1"
"1040","SBF1"
"1041","F8"
"1042","GRB14"
"1043","HAUS6"
"1044","LFNG"
"1045","MAST1"
"1046","MLXIP"
"1047","NDRG1"
"1048","NPAS2"
"1049","SLFN13"
"1050","UNC45B"
"1051","BEND3"
"1052","C16orf62"
"1053","CCR6"
"1054","DISP2"
"1055","INSRR"
"1056","NAALAD2"
"1057","PIEZO2"
"1058","RTN1"
"1059","SDK2"
"1060","USP31"
"1061","ZNF23"
"1062","ALLC"
"1063","C7orf31"
"1064","CNTNAP5"
"1065","COPS2"
"1066","DCX"
"1067","GABRG2"
"1068","MFSD6L"
"1069","OGT"
"1070","PCIF1"
"1071","PCNT"
"1072","SCUBE3"
"1073","SLC12A6"
"1074","ZNF486"
"1075","CDH10"
"1076","FAM227B"
"1077","FAM98A"
"1078","FOXC1"
"1079","INPP5J"
"1080","LRRK2"
"1081","MATR3"
"1082","MCC"
"1083","MPP5"
"1084","MYPN"
"1085","P4HTM"
"1086","RBM27"
"1087","RNF17"
"1088","RXFP1"
"1089","SERPINB9"
"1090","WNK3"
"1091","ADAM12"
"1092","APLNR"
"1093","CDC14B"
"1094","COL27A1"
"1095","DCC"
"1096","EFCAB4B"
"1097","EGFLAM"
"1098","FAR2"
"1099","LPIN2"
"1100","MDN1"
"1101","NLRP13"
"1102","NNMT"
"1103","NOS1AP"
"1104","OR10W1"
"1105","PAMR1"
"1106","TMED8"
"1107","UBE2O"
"1108","ZNF519"
"1109","APOBR"
"1110","ARHGAP4"
"1111","ATP2B3"
"1112","C2orf78"
"1113","CACNA1G"
"1114","CELF6"
"1115","CLSTN2"
"1116","COBL"
"1117","ELTD1"
"1118","FASTKD1"
"1119","IL19"
"1120","KDM6B"
"1121","SLC12A5"
"1122","SORCS1"
"1123","THBS2"
"1124","TRERF1"
"1125","TRPM5"
"1126","USP24"
"1127","ABCA6"
"1128","ABCC11"
"1129","CDHR2"
"1130","CLHC1"
"1131","GRM6"
"1132","INTS5"
"1133","MYH15"
"1134","OR4D9"
"1135","OTOA"
"1136","PCDHA9"
"1137","PITPNM2"
"1138","PRSS55"
"1139","RBM15"
"1140","SCN7A"
"1141","SEC14L2"
"1142","SLC22A7"
"1143","SOS1"
"1144","BAZ1B"
"1145","CD163"
"1146","EYS"
"1147","HCN2"
"1148","KCNK10"
"1149","RBM33"
"1150","ADCY10"
"1151","AK5"
"1152","CACHD1"
"1153","CAMSAP3"
"1154","CATSPERG"
"1155","ENPP3"
"1156","GOT1L1"
"1157","MYOM1"
"1158","NUP133"
"1159","PCDH10"
"1160","PRTG"
"1161","RASA1"
"1162","SH3RF2"
"1163","SYCP2"
"1164","TGFBR1"
"1165","TMEM184A"
"1166","ZNF208"
"1167","ZNF528"
"1168","ZNF83"
"1169","ADAM22"
"1170","ALDOB"
